Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1597824000000,0.51010000,0.72000000,0.51010000,0.54490000,1087691.72000000,1597838399999,623314.90690100,3299,409505.42000000,236881.98317700,0
1597838400000,0.54490000,0.58990000,0.52180000,0.53970000,702253.89000000,1597852799999,395483.12005700,2053,278395.96000000,157169.37533300,0
1597852800000,0.53970000,0.56490000,0.50310000,0.50900000,899258.42000000,1597867199999,474697.05411500,3022,399657.69000000,210972.71339500,0
1597867200000,0.50600000,0.58000000,0.49230000,0.55260000,696882.29000000,1597881599999,375571.77079100,2393,277919.82000000,149757.98699600,0
1597881600000,0.54730000,0.64000000,0.54700000,0.58000000,757644.11000000,1597895999999,442065.26120500,3132,362322.94000000,212302.64025500,0
1597896000000,0.57600000,0.62300000,0.56890000,0.60700000,595149.51000000,1597910399999,352215.80622000,2099,275753.09000000,163138.59193500,0
1597910400000,0.60890000,0.63800000,0.57600000,0.57790000,1277752.23000000,1597924799999,777603.83288900,3442,571739.46000000,347435.62481500,0
1597924800000,0.57670000,0.61200000,0.56310000,0.60870000,672031.54000000,1597939199999,395665.27393000,2034,253635.02000000,149233.88147100,0
1597939200000,0.60850000,0.63950000,0.59360000,0.60380000,536089.53000000,1597953599999,327247.74069000,2109,238235.36000000,146127.81438700,0
1597953600000,0.60400000,0.63030000,0.59220000,0.61140000,391101.18000000,1597967999999,242019.59309700,1474,172065.69000000,106682.68562200,0
1597968000000,0.61140000,0.62840000,0.56000000,0.57280000,571942.63000000,1597982399999,337466.71526700,1819,238340.16000000,141131.00505600,0
1597982400000,0.57250000,0.62000000,0.55500000,0.58500000,388899.31000000,1597996799999,226007.41959900,1671,207636.01000000,121022.87755200,0
1597996800000,0.58560000,0.59440000,0.54150000,0.54680000,328329.81000000,1598011199999,186571.77018600,1202,127338.31000000,71698.44565600,0
1598011200000,0.54680000,0.60690000,0.51990000,0.54800000,598494.57000000,1598025599999,323239.60028900,1876,276747.47000000,149918.36433800,0
1598025600000,0.54500000,0.57000000,0.53900000,0.55160000,146299.92000000,1598039999999,81448.33218200,601,64663.28000000,35997.92662000,0
1598040000000,0.55550000,0.55550000,0.51050000,0.52050000,299086.49000000,1598054399999,158887.02091100,1156,118818.38000000,62867.59969600,0
1598054400000,0.51760000,0.53450000,0.46480000,0.47040000,869865.72000000,1598068799999,426837.41672900,2396,451257.93000000,221014.56377200,0
1598068800000,0.47070000,0.54500000,0.42500000,0.51680000,532948.53000000,1598083199999,267948.94143400,1944,257418.76000000,129839.74467300,0
1598083200000,0.51420000,0.53050000,0.48310000,0.49490000,272439.90000000,1598097599999,137003.32703200,1451,89051.08000000,44777.61096100,0
1598097600000,0.49490000,0.54760000,0.48750000,0.54140000,344222.67000000,1598111999999,174945.96167000,1500,141707.12000000,72324.49623500,0
1598112000000,0.54230000,0.54720000,0.51710000,0.52980000,275964.72000000,1598126399999,146821.32147600,970,114910.75000000,61389.56850000,0
1598126400000,0.52580000,0.54400000,0.51700000,0.53310000,163056.42000000,1598140799999,85791.14714600,611,74596.27000000,39412.95493900,0
1598140800000,0.53630000,0.59000000,0.53100000,0.58380000,277762.84000000,1598155199999,155641.98432600,1102,147111.09000000,82680.62272900,0
1598155200000,0.58110000,0.60590000,0.55400000,0.58730000,475382.14000000,1598169599999,276934.90394500,1847,237220.46000000,138728.06283200,0
1598169600000,0.58800000,0.60870000,0.56180000,0.57700000,626660.65000000,1598183999999,366634.14753300,1996,306775.87000000,179588.97218200,0
1598184000000,0.57770000,0.57930000,0.53780000,0.55130000,355605.18000000,1598198399999,197815.52602500,1510,127437.76000000,70573.57890000,0
1598198400000,0.55310000,0.55930000,0.52300000,0.54400000,201546.09000000,1598212799999,108341.90187300,926,90788.74000000,48866.47019600,0
1598212800000,0.54400000,0.60230000,0.53580000,0.59450000,328380.65000000,1598227199999,186689.33304100,1475,195520.72000000,111671.41238500,0
1598227200000,0.59450000,0.61500000,0.55280000,0.56840000,224205.07000000,1598241599999,128902.70181400,958,110905.00000000,64196.02100300,0
1598241600000,0.57220000,0.57900000,0.54790000,0.56830000,283223.16000000,1598255999999,158522.51720600,1028,142135.85000000,79733.85800800,0
1598256000000,0.56830000,0.61710000,0.56500000,0.59930000,372745.19000000,1598270399999,219213.17495400,1684,179018.62000000,105626.65156000,0
1598270400000,0.59930000,0.61000000,0.54190000,0.55400000,420320.86000000,1598284799999,238716.94295400,1810,147852.67000000,84086.90611100,0
1598284800000,0.55420000,0.58590000,0.54510000,0.56940000,358766.57000000,1598299199999,202165.63152100,1410,160403.35000000,90583.60783300,0
1598299200000,0.56600000,0.58800000,0.55370000,0.55480000,217260.95000000,1598313599999,123809.20392500,1016,69344.65000000,39851.98043900,0
1598313600000,0.55480000,0.56850000,0.54390000,0.55740000,163180.81000000,1598327999999,90848.46192100,617,91200.27000000,50879.26059700,0
